npi,name,n_lines,mean_medicare_mult,median_medicare_mult,win_rate
1598012429,"Physiologic Assessment Services, LLC",143,6.58,6.9,67.8
1356818496,TUCSON ER & HOSPITAL,3,6.58,5.92,100.0
1407580582,EMER Hulen Physicians PLLC,18,6.54,4.0,100.0
1811778830,GREEN BAY EP LLC,3,6.52,3.57,66.7
1558851568,"EMERGENCY MEDICINE SPECIALISTS, INC.",18,6.5,5.85,83.3
1952792475,INPATIENT SPECIALISTS OF CALIFORNIA PC DBA SOUND PHYSICIANS OF CALIFORNIA IV,1,6.49,6.49,100.0
1235304833,"AZADEH FARIN, MD",8,6.48,6.48,100.0
1023484912,"STAFFORD, MICHAEL T",3,6.47,3.5,66.7
1821501875,"GALVESTON ER OPERATIONS, LLC",7,6.45,4.43,85.7
1376151365,"EMER Rowlett, LLC",11,6.44,5.0,54.5
1053760934,"NEUROCEPT, LLC",1,6.44,6.44,0.0
1629813423,"MOHAMMED ABDUL, RAHMAN",3,6.42,7.32,100.0
1447370697,"CHERI PHILLIPS, PA-C",3,6.35,7.03,100.0
1134557523,NEW JERSEY SPINE & ORTHOPEDIC,1,6.34,6.34,100.0
1841923117,JOANNA KUBY,1,6.3,6.3,100.0
1710364112,"Bruin Neurophysiology, P.C.",13,6.25,5.83,76.9
1538685979,Madelyn O'Leary,1,6.24,6.24,100.0
1023583218,ADVANCED ORTHOPAEDIC ASSOCIATES,2,6.24,5.61,0.0
1508484825,EMER Arlington Physicians PLLC,17,6.2,4.49,88.2
1194180968,Sound Physicians Emergency Medicine of Southern California PC,2,6.19,5.8,50.0
1023745007,"NeuroStim, LLC",1,6.19,6.19,100.0
1699871525,"JOSHUA ELLENHORN, MD",1,6.18,6.18,100.0
1750491247,Sherman Oaks Hospital,1,6.11,6.11,100.0
1639647282,SUREPOINT EMERGENCY CENTER PANTEGO,2,6.03,6.03,100.0
1073076527,ASSURE NEUROMONITORING COLORADO LLC,1,6.03,6.03,100.0
1912640491,"SilverChoice, PLLC",69,6.01,4.34,87.0
1750650776,"EMERGENCY MEDICINE SPECIALISTS, INC.",39,6.01,5.85,69.2
1346676749,"BRITTANY MADISON, NP",2,6.01,3.91,100.0
1811388432,"Wayne Fleishhacker, DO, LLC",2,6.0,5.62,50.0
1083327886,"SOUTHEAST DIAGNOSTIC CONSULTANTS, LLC",2,5.99,3.9,0.0
1083982888,"EMERGENCY MEDICINE SPECIALISTS, INC.",5,5.99,6.11,80.0
1730683905,"Yaniv Larish, MD",3,5.96,6.22,33.3
1194215111,"EMERGENCY MEDICINE SPECIALISTS, INC.",16,5.95,6.11,87.5
1548434665,"JORDAN FARKAS, MD",1,5.94,5.94,100.0
1598488090,IES ARKANSAS PLLC,2,5.94,5.91,100.0
1427445675,Rameen Moridzadeh MD,7,5.93,6.13,71.4
1952759300,"NEUROGUIDE, PLLC",1,5.92,5.92,100.0
1356791503,"JAD DONATO, MD",1,5.9,5.9,100.0
1083068472,"JARRETT BORONIEC, DO",1,5.88,5.88,100.0
1073804316,"RACHEL WEBMAN, MD",1,5.86,5.86,100.0
1780038554,"NEUROSPINE ASSOCIATES, PLLC",8,5.83,4.85,62.5
1194243287,"RSER Benbrook, LLC",130,5.82,4.8,89.2
1922771377,"Premier Brain and Spine, LLC",1,5.81,5.81,0.0
1619321742,"TYLER ER OPERATIONS, LLC",8,5.8,3.52,75.0
1265569255,Alok Sharan MD,1,5.8,5.8,100.0
1366428575,"EMERGENCY MEDICINE SPECIALISTS, INC.",19,5.79,6.03,84.2
1013675834,"Lakewood Green, LLC",58,5.78,4.1,94.8
1801677083,"Methodist North Emergency Physicians, PL",1,5.77,5.77,100.0
1093150385,"AA Medical, P.C.",1,5.76,5.76,100.0
1013356898,"David Abramson, MD",1,5.75,5.75,100.0
1356975411,"MIMMA MAZZOLA, PA-C",2,5.73,4.46,100.0
1215291240,"ERIC MITTELMANN, MD",2,5.7,4.6,100.0
1205089026,Prime Healthcare Shasta,1,5.68,5.68,100.0
1558838607,ALBUQUERQUE ER & HOSPITAL,5,5.66,3.46,100.0
1730241993,"VASIF SABEEH, DO",1,5.63,5.63,100.0
